RA,ANO,Fase,INDE,IAA,IEG,IPS,IDA,IPP,IPV,IAN,Defas,Atingiu_PV,EM_RISCO
RA-1041,2023,1,6.724116667,10.0,7.2,7.52,3.3,7.8125,8.003333333,5.0,-1,,0
RA-733,2023,1,8.3342,10.0,8.7,7.52,6.2,8.333333333,8.893333333,10.0,0,,0
RA-837,2023,1,8.2712,9.0,9.3,7.52,7.0,7.916666667,7.836666667,10.0,0,,0
RA-519,2023,1,8.0177,9.0,9.9,7.52,7.4,7.708333333,8.223333333,5.0,-1,,0
RA-521,2023,1,6.768666667,0.0,9.9,3.77,7.9,7.083333333,8.166666667,5.0,-1,,0
RA-1042,2023,1,5.331166667,0.0,6.5,3.77,4.3,7.708333333,7.666666667,5.0,-1,,1
RA-713,2023,1,7.408033333,8.0,9.6,3.77,7.5,6.875,8.166666667,5.0,-1,,0
RA-736,2023,1,7.600033333,8.5,9.5,6.27,6.7,7.708333333,8.11,5.0,-1,,0
RA-1043,2023,1,6.5447,10.0,7.9,6.27,2.5,7.708333333,7.833333333,5.0,-1,,0
RA-716,2023,1,6.813366667,9.0,8.7,3.77,5.6,6.875,7.443333333,5.0,-1,,0
RA-1044,2023,1,7.629533333,8.0,9.7,7.52,6.1,7.5,8.336666667,5.0,-1,,0
RA-745,2023,1,7.668366667,9.5,9.3,3.77,7.0,8.125,8.893333333,5.0,-1,,0
RA-717,2023,1,6.633833333,0.0,8.5,7.52,5.9,8.125,8.446666667,5.0,-1,,0
RA-718,2023,1,8.166866667,9.5,9.1,3.77,7.8,7.916666667,8.39,10.0,0,,0
RA-721,2023,1,8.683366667,8.5,9.5,7.52,8.4,8.125,8.443333333,10.0,0,,0
RA-746,2023,1,6.517166667,0.0,8.0,3.77,7.2,6.875,7.113333333,10.0,0,,0
RA-1045,2023,1,8.089033333,9.5,9.4,7.52,7.9,7.708333333,8.28,5.0,-1,,0
RA-483,2023,1,6.3972,9.0,6.0,2.52,5.6,7.916666667,8.166666667,5.0,-2,,0
RA-1046,2023,1,6.835833333,0.0,8.5,3.77,6.3,8.541666667,8.223333333,10.0,0,,0
RA-1047,2023,1,7.848366667,10.0,8.5,3.77,6.9,8.125,7.893333333,10.0,0,,0
RA-570,2023,1,6.781033333,8.5,7.3,3.77,5.9,8.125,8.056666667,5.0,-1,,0
RA-1048,2023,1,7.811366667,8.5,9.5,3.77,8.2,8.541666667,8.5,5.0,-1,,0
RA-1049,2023,1,7.443366667,10.0,7.7,7.52,6.3,8.125,7.943333333,5.0,-1,,0
RA-1050,2023,1,7.764366667,9.0,9.2,6.27,7.2,8.125,8.223333333,5.0,-1,,0
RA-1051,2023,1,8.534866667,8.5,8.9,6.27,8.4,8.75,8.613333333,10.0,0,,0
RA-707,2023,1,6.518,0.0,9.8,3.77,6.5,7.916666667,7.946666667,5.0,-1,,0
RA-1052,2023,1,6.960333333,0.0,9.0,7.52,5.3,7.916666667,7.833333333,10.0,0,,0
RA-580,2023,1,8.4712,8.5,9.8,7.52,9.0,8.75,8.67,5.0,-1,,0
RA-581,2023,1,7.7167,8.0,9.8,7.52,7.9,6.458333333,7.393333333,5.0,-1,,0
RA-735,2023,1,7.184,0.0,9.0,7.52,8.1,8.333333333,8.393333333,5.0,-1,,0
RA-710,2023,1,7.0582,9.5,9.0,3.77,6.5,7.083333333,7.113333333,5.0,-1,,0
RA-712,2023,1,6.331533333,9.5,5.6,3.14,6.7,7.5,6.836666667,5.0,-2,,0
RA-549,2023,1,7.0297,9.5,8.1,5.02,6.4,6.875,7.5,5.0,-1,,0
RA-679,2023,1,6.138366667,7.5,7.5,5.02,3.6,6.875,7.393333333,5.0,-1,,0
RA-571,2023,1,6.6097,9.0,7.9,3.77,5.0,7.291666667,7.616666667,5.0,-2,,0
RA-714,2023,1,6.078666667,0.0,8.0,3.14,7.4,7.5,7.223333333,5.0,-2,,0
RA-737,2023,1,8.048033333,9.5,7.8,7.52,7.5,7.291666667,7.783333333,10.0,0,,0
RA-577,2023,1,7.219366667,10.0,8.2,3.77,7.4,6.875,7.673333333,5.0,-1,,0
RA-1053,2023,1,7.776166667,0.0,9.1,6.27,8.6,8.958333333,8.616666667,10.0,0,,0
RA-731,2023,1,6.7742,8.5,7.6,3.14,6.8,7.5,7.45,5.0,-1,,0
RA-552,2023,1,5.248666667,0.0,5.6,3.14,6.4,6.666666667,6.89,5.0,-2,,1
RA-1054,2023,1,7.459533333,8.5,8.6,7.52,6.6,7.5,7.836666667,5.0,-2,,0
RA-1055,2023,1,5.9765,0.0,7.2,7.52,5.5,7.291666667,7.276666667,5.0,-1,,1
RA-597,2023,1,8.49045,10.0,9.6,7.52,8.5,9.0625,8.56,5.0,-1,,0
RA-624,2023,1,8.270825,9.0,9.2,7.52,8.6,8.90625,8.39,5.0,-1,,0
RA-776,2023,1,5.567916667,0.0,7.0,7.52,3.5,7.8125,7.223333333,5.0,-1,,1
RA-600,2023,1,7.651658333,8.5,8.4,7.52,7.2,8.28125,8.056666667,5.0,-1,,0
RA-1056,2023,1,8.551741667,8.5,9.6,7.52,8.1,7.96875,8.113333333,10.0,0,,0
RA-791,2023,1,6.247916667,0.0,8.1,7.52,5.3,7.8125,7.723333333,5.0,-2,,0
RA-601,2023,1,8.955783333,9.0,10.0,7.52,8.7,9.0625,8.336666667,10.0,0,,0
RA-762,2023,1,7.09945,10.0,9.1,3.14,5.8,7.8125,7.67,5.0,-2,,0
RA-778,2023,1,7.926825,8.5,7.9,7.52,8.2,8.90625,8.62,5.0,-1,,0
RA-628,2023,1,8.370325,9.5,8.9,7.52,9.4,8.28125,8.45,5.0,-2,,0
RA-606,2023,1,7.402491667,8.5,8.5,7.52,6.0,7.65625,8.223333333,5.0,-1,,0
RA-766,2023,1,8.008408333,10.0,8.7,4.39,8.7,9.21875,8.336666667,5.0,-1,,0
RA-607,2023,1,7.333075,8.0,7.5,7.52,6.8,7.96875,8.17,5.0,-1,,0
RA-608,2023,1,7.401741667,10.0,7.5,7.52,6.2,7.96875,8.113333333,5.0,-1,,0
RA-788,2023,1,7.806091667,7.9,9.8,2.52,6.9,7.65625,8.283333333,10.0,0,,0
RA-784,2023,1,8.171366667,10.0,9.5,7.52,7.3,8.125,8.783333333,5.0,-1,,0
RA-785,2023,1,8.137866667,9.0,8.5,7.52,8.8,7.916666667,8.67,5.0,-1,,0
RA-587,2023,1,6.032033333,8.5,7.0,7.52,2.7,6.458333333,6.72,5.0,-1,,0
RA-790,2023,1,6.707666667,0.0,8.1,7.52,7.4,7.083333333,8.286666667,5.0,-2,,0
RA-663,2023,1,6.969133333,6.9,7.4,7.52,7.0,6.666666667,7.393333333,5.0,-1,,0
RA-664,2023,1,8.0872,9.0,9.6,7.52,8.0,7.916666667,8.116666667,5.0,-1,,0
RA-761,2023,1,8.219533333,9.0,9.7,7.52,8.4,8.333333333,8.12,5.0,-1,,0
RA-1057,2023,1,8.4827,10.0,10.0,7.52,6.3,8.125,8.34,10.0,0,,0
RA-629,2023,1,8.013866667,10.0,9.4,7.52,7.5,7.916666667,7.95,5.0,-1,,0
RA-832,2023,1,8.2697,10.0,9.5,7.52,8.5,7.708333333,8.283333333,5.0,-1,,0
RA-594,2023,1,6.702033333,8.5,7.1,6.27,5.8,6.875,7.336666667,5.0,-1,,0
RA-617,2023,1,6.816166667,0.0,9.0,7.52,6.9,7.708333333,8.116666667,5.0,-1,,0
RA-767,2023,1,7.3807,10.0,8.3,7.52,6.3,7.291666667,7.446666667,5.0,-1,,0
RA-1058,2023,1,7.356533333,10.0,8.7,3.14,5.4,7.083333333,7.62,10.0,0,,0
RA-747,2023,1,6.026366667,10.0,8.0,3.14,3.1,6.041666667,6.94,5.0,-1,,0
RA-827,2023,1,7.419925,7.9,8.1,3.14,8.1,8.28125,8.73,5.0,-1,,0
RA-1059,2023,1,7.763741667,10.0,9.8,2.52,7.6,7.96875,8.673333333,5.0,-1,,0
RA-612,2023,1,8.410783333,9.0,9.7,3.77,9.7,9.0625,9.286666667,5.0,-1,,0
RA-1060,2023,1,7.095741667,9.0,8.6,3.14,5.7,7.96875,8.673333333,5.0,-1,,0
RA-665,2023,1,6.185658333,9.5,4.9,2.52,5.2,8.28125,8.226666667,5.0,-1,,0
RA-829,2023,1,8.532075,9.0,9.4,3.14,8.4,9.21875,9.23,10.0,0,,0
RA-1061,2023,1,8.196533333,9.5,9.7,3.14,9.3,8.75,8.836666667,5.0,-1,,0
RA-1062,2023,1,7.448841667,7.4,7.7,3.77,6.2,8.59375,8.503333333,10.0,0,,0
RA-615,2023,1,7.815658333,10.0,9.7,3.14,7.6,8.28125,8.616666667,5.0,-1,,0
RA-833,2023,1,7.81295,10.0,9.5,3.77,7.4,8.4375,8.56,5.0,-1,,0
RA-630,2023,1,7.199991667,9.0,8.6,3.77,5.7,8.28125,8.673333333,5.0,-1,,0
RA-752,2023,1,8.073825,9.5,9.9,7.52,6.4,7.65625,9.23,5.0,-1,,0
RA-777,2023,1,7.468125,0.0,9.3,7.52,6.3,8.28125,8.84,10.0,0,,0
RA-1063,2023,1,7.490825,9.5,9.5,7.52,5.9,6.40625,7.89,5.0,-1,,0
RA-764,2023,1,7.682125,0.0,9.2,7.52,7.8,8.28125,8.56,10.0,0,,0
RA-1064,2023,1,8.4777,8.5,9.8,7.52,8.6,9.375,8.84,5.0,-1,,0
RA-1065,2023,1,8.03395,8.5,9.6,7.52,7.0,8.4375,8.84,5.0,-1,,0
RA-772,2023,1,5.930166667,0.0,7.2,7.52,4.8,6.875,8.003333333,5.0,-2,,1
RA-781,2023,1,8.209283333,7.5,9.8,7.52,7.9,8.4375,9.116666667,5.0,-1,,0
RA-1066,2023,1,7.262616667,8.5,6.6,7.52,6.2,8.4375,8.783333333,5.0,-1,,0
RA-1067,2023,1,6.541458333,0.0,7.9,7.52,5.4,8.28125,9.006666667,5.0,-1,,0
RA-834,2023,1,8.662616667,9.0,9.9,6.27,9.2,9.6875,9.283333333,5.0,-1,,0
RA-722,2023,1,7.3387,8.5,9.6,2.52,6.4,8.125,8.67,5.0,-1,,0
RA-1068,2023,1,8.472533333,8.5,9.3,6.89,9.0,9.166666667,9.283333333,5.0,-1,,0
RA-796,2023,1,7.462866667,9.0,9.8,6.27,5.5,7.083333333,8.336666667,5.0,-1,,0
RA-1069,2023,1,7.590033333,9.0,7.8,7.52,7.1,8.125,8.226666667,5.0,-1,,0
RA-797,2023,1,7.373033333,8.5,8.6,7.52,7.5,6.041666667,7.233333333,5.0,-1,,0
RA-647,2023,1,7.100566667,7.3,8.7,6.27,5.2,7.708333333,8.446666667,5.0,-1,,0
RA-814,2023,1,8.367866667,9.5,9.6,6.89,8.2,8.333333333,9.226666667,5.0,-1,,0
RA-652,2023,1,7.871033333,9.0,9.4,6.89,7.0,8.125,8.446666667,5.0,-1,,0
RA-816,2023,1,8.5572,7.5,9.8,7.52,8.9,9.583333333,9.283333333,5.0,-1,,0
RA-640,2023,1,6.1105,0.0,7.3,7.52,4.9,7.291666667,8.446666667,5.0,-2,,0
RA-810,2023,1,7.782866667,8.0,8.5,7.52,6.9,5.833333333,7.836666667,10.0,0,,0
RA-643,2023,1,7.389033333,9.5,8.2,7.52,7.1,6.041666667,7.613333333,5.0,-1,,0
RA-819,2023,1,7.944833333,0.0,8.3,7.52,9.5,8.541666667,8.893333333,10.0,0,,0
RA-1070,2023,1,6.939033333,9.0,7.8,3.14,5.8,7.708333333,8.67,5.0,-1,,0
RA-813,2023,1,7.5867,9.5,8.4,7.52,3.9,8.125,8.06,10.0,0,,0
RA-636,2023,1,6.836666667,0.0,8.3,5.64,9.0,8.333333333,7.446666667,5.0,-1,,0
RA-798,2023,1,7.018033333,9.0,8.1,7.52,6.1,6.458333333,6.95,5.0,-1,,0
RA-799,2023,1,8.061533333,9.5,9.6,5.64,8.3,8.333333333,8.17,5.0,-1,,0
RA-815,2023,1,6.122166667,0.0,8.6,5.02,6.5,6.875,7.063333333,5.0,-1,,0
RA-637,2023,1,8.109533333,8.0,9.5,7.52,8.5,8.333333333,8.17,5.0,-1,,0
RA-638,2023,1,7.754866667,9.0,9.4,7.52,6.5,8.333333333,7.946666667,5.0,-1,,0
RA-801,2023,1,6.8735,0.0,7.5,7.52,7.6,6.875,7.12,10.0,0,,0
RA-802,2023,1,8.126866667,8.0,9.3,7.52,9.4,8.333333333,7.506666667,5.0,-1,,0
RA-1071,2023,1,6.414033333,9.0,8.6,7.52,3.5,5.625,6.396666667,5.0,-1,,0
RA-817,2023,1,7.8597,9.5,8.8,6.89,5.4,8.125,7.89,10.0,0,,0
RA-818,2023,1,7.997366667,10.0,8.4,7.52,6.2,8.125,7.613333333,10.0,1,,1
RA-804,2023,1,7.2352,10.0,8.6,6.27,6.9,5.833333333,7.173333333,5.0,-1,,0
RA-645,2023,1,7.613033333,9.0,8.5,6.27,7.3,8.125,8.116666667,5.0,-1,,0
RA-479,2023,2,8.988866667,9.0,10.0,2.52,9.7,9.791666667,9.6375,10.0,0,,0
RA-493,2023,2,7.934366667,9.5,9.6,2.52,6.0,8.541666667,8.84,10.0,0,,0
RA-1072,2023,2,8.0152,9.0,8.6,5.0,6.7,8.125,8.7125,10.0,0,,0
RA-536,2023,2,7.759533333,8.0,9.3,2.52,5.9,8.333333333,9.17,10.0,0,,0
RA-1073,2023,2,6.384333333,0.0,8.8,2.52,6.2,8.333333333,9.045,5.0,-1,,0
RA-494,2023,2,7.116633333,6.9,9.0,2.52,6.8,7.708333333,8.71,5.0,-1,,0
RA-496,2023,2,6.603666667,0.0,7.1,5.0,8.3,7.916666667,8.71,5.0,-1,,0
RA-497,2023,2,5.7191,5.3,8.7,2.52,3.5,6.25,6.885,5.0,-2,,1
RA-1074,2023,2,6.195833333,0.0,9.8,2.52,6.0,7.083333333,7.8775,5.0,-1,,0
RA-486,2023,2,7.1043,8.4,6.4,2.52,6.2,7.5,8.7525,10.0,0,,0
RA-1075,2023,2,6.591333333,0.0,9.6,5.0,5.5,7.708333333,9.0025,5.0,-1,,0
RA-578,2023,2,9.013866667,9.0,10.0,2.52,9.7,9.791666667,9.7625,10.0,0,,0
RA-513,2023,2,8.297866667,9.5,9.7,2.52,7.5,8.541666667,9.0075,10.0,0,,0
RA-487,2023,2,8.988866667,8.5,9.9,5.0,9.5,9.166666667,9.26,10.0,0,,0
RA-1076,2023,2,7.901033333,9.0,9.7,2.52,8.5,8.333333333,8.8775,5.0,-1,,0
RA-490,2023,2,7.429466667,7.9,7.9,2.52,5.8,8.541666667,9.0075,10.0,0,,0
RA-491,2023,2,7.560533333,9.5,9.6,2.52,5.0,7.708333333,8.3375,10.0,0,,0
RA-1077,2023,2,7.2115,0.0,9.7,2.52,7.3,8.75,8.4225,10.0,0,,0
RA-484,2023,2,5.515466667,6.4,7.5,2.52,3.6,5.416666667,6.8,5.0,-1,,1
RA-508,2023,2,7.671633333,6.4,8.6,2.52,7.5,8.333333333,8.6725,10.0,0,,0
RA-495,2023,2,7.417366667,9.0,8.4,2.52,7.4,8.541666667,8.755,5.0,-1,,0
RA-1078,2023,2,6.472333333,5.3,6.8,2.52,6.4,8.958333333,8.2975,5.0,-2,,0
RA-340,2023,2,7.059666667,0.0,9.6,2.52,8.9,9.166666667,8.505,5.0,-1,,0
RA-1079,2023,2,6.916533333,9.0,8.1,2.52,7.6,7.083333333,7.13,5.0,-1,,0
RA-1080,2023,2,6.571966667,7.9,10.0,5.0,1.5,8.541666667,8.13,5.0,-1,,0
RA-1081,2023,2,7.666033333,10.0,10.0,2.52,6.5,8.958333333,8.59,5.0,-2,,0
RA-1082,2023,2,7.1617,9.5,9.5,2.52,5.0,8.75,8.4225,5.0,-1,,0
RA-1083,2023,2,8.2345,6.8,10.0,5.0,7.5,8.75,8.38,10.0,0,,0
RA-531,2023,2,8.3252,9.5,10.0,2.52,7.7,8.75,8.59,10.0,0,,0
RA-1084,2023,2,7.9948,8.4,10.0,2.52,6.8,8.75,8.38,10.0,0,,0
RA-516,2023,2,8.6807,10.0,9.8,2.52,9.3,8.75,8.7175,10.0,0,,0
RA-348,2023,2,6.817866667,10.0,8.7,2.52,4.4,8.541666667,8.0075,5.0,-1,,0
RA-1085,2023,2,6.563833333,0.0,9.8,2.52,6.7,8.958333333,8.13,5.0,-1,,0
RA-1086,2023,2,7.2382,8.5,9.4,2.52,5.7,8.75,8.755,5.0,-1,,0
RA-1087,2023,2,7.2067,10.0,9.5,2.52,5.4,8.75,8.0475,5.0,-1,,0
RA-509,2023,2,7.606033333,8.5,8.1,2.52,8.6,8.958333333,8.84,5.0,-1,,0
RA-499,2023,2,7.8883,7.9,10.0,2.52,6.6,8.75,8.2975,10.0,0,,0
RA-500,2023,2,8.427533333,9.5,10.0,2.52,7.9,8.958333333,8.7975,10.0,0,,0
RA-1088,2023,2,7.4717,9.5,9.8,2.52,6.8,8.75,7.9225,5.0,-1,,0
RA-1089,2023,2,7.9947,9.0,9.5,2.52,7.0,8.75,8.3375,10.0,0,,0
RA-1090,2023,2,7.844033333,9.0,9.6,2.52,9.0,8.958333333,7.88,5.0,-1,,0
RA-503,2023,2,8.4682,9.5,10.0,2.52,8.7,8.75,8.255,10.0,0,,0
RA-1091,2023,2,8.032533333,8.5,9.0,2.52,9.5,8.958333333,9.1725,5.0,-1,,0
RA-1092,2023,2,7.41,7.8,9.8,2.52,6.9,8.75,8.2975,5.0,-1,,0
RA-1093,2023,2,8.197533333,7.0,9.3,2.52,9.2,8.958333333,8.2975,10.0,0,,0
RA-1094,2023,2,8.1779,7.8,9.5,2.52,8.5,8.75,8.3375,10.0,0,,0
RA-1095,2023,2,6.238,0.0,9.8,2.52,5.3,8.75,8.005,5.0,-1,,0
RA-324,2023,2,7.6354,5.8,9.0,2.52,8.4,8.125,7.5875,10.0,0,,0
RA-350,2023,2,7.972033333,10.0,9.7,2.52,9.0,8.958333333,7.92,5.0,-1,,0
RA-517,2023,2,6.3104,4.1,9.0,2.52,6.6,6.875,6.7125,5.0,-1,,0
RA-325,2023,2,6.243,0.0,7.1,5.0,5.6,8.125,7.0025,10.0,0,,0
RA-518,2023,2,7.5762,8.5,8.5,5.0,6.7,8.125,6.9175,10.0,0,,0
RA-530,2023,2,7.653033333,10.0,8.8,5.0,5.7,7.708333333,7.46,10.0,0,,0
RA-524,2023,2,7.331133333,6.4,9.2,2.52,8.9,8.333333333,7.42,5.0,-1,,0
RA-1096,2023,2,8.615533333,9.5,9.9,2.52,9.6,8.958333333,8.0875,10.0,0,,0
RA-526,2023,2,8.0957,9.5,9.8,5.0,8.8,8.75,7.7525,5.0,-1,,0
RA-528,2023,2,7.6892,9.0,8.5,5.0,8.2,8.75,7.92,5.0,-1,,0
RA-534,2023,2,5.8385,0.0,8.1,2.52,5.4,8.125,7.92,5.0,-1,,1
RA-1097,2023,2,6.9547,9.5,8.6,5.0,5.4,8.125,6.96,5.0,-2,,0
RA-1098,2023,2,7.2787,9.5,9.5,2.52,6.4,8.125,7.92,5.0,-1,,0
RA-506,2023,2,7.750033333,9.5,8.1,5.0,8.5,8.958333333,7.92,5.0,-1,,0
RA-1099,2023,2,7.113533333,9.0,9.6,2.52,5.2,8.333333333,8.34,5.0,-1,,0
RA-1100,2023,2,8.261033333,10.0,9.2,5.0,7.1,8.541666667,8.283333333,10.0,0,,0
RA-1101,2023,2,6.446666667,0.0,7.2,5.0,5.3,8.333333333,8.116666667,10.0,0,,0
RA-1102,2023,2,8.123033333,9.5,9.5,5.0,7.5,7.708333333,7.56,10.0,0,,0
RA-363,2023,2,6.680833333,0.0,9.9,2.52,6.8,8.541666667,8.673333333,5.0,-1,,0
RA-1103,2023,2,7.574866667,9.0,8.7,5.0,5.0,8.333333333,8.006666667,10.0,0,,0
RA-539,2023,2,7.796866667,9.5,8.6,2.52,8.5,9.166666667,8.84,5.0,-1,,0
RA-540,2023,2,8.216033333,8.5,8.8,5.0,7.1,8.958333333,8.95,10.0,0,,0
RA-574,2023,2,7.878133333,6.9,8.2,5.0,8.1,7.916666667,8.173333333,10.0,0,,0
RA-369,2023,2,6.0197,10.0,4.1,5.0,4.0,8.541666667,7.726666667,5.0,-1,,0
RA-375,2023,2,7.070833333,0.0,9.9,5.0,7.9,8.541666667,8.283333333,5.0,-1,,0
RA-376,2023,2,7.1392,8.5,9.6,2.52,5.9,7.916666667,8.226666667,5.0,-1,,0
RA-535,2023,2,8.0027,9.0,9.4,5.0,5.6,8.125,8.95,10.0,0,,0
RA-547,2023,2,6.467,0.0,9.1,2.52,6.2,8.75,8.95,5.0,-1,,0
RA-548,2023,2,7.4322,9.0,9.1,2.52,7.4,8.333333333,8.283333333,5.0,-1,,0
RA-538,2023,2,6.413466667,7.4,8.6,2.52,4.7,7.916666667,7.39,5.0,-1,,0
RA-365,2023,2,8.6587,10.0,9.9,2.52,8.7,8.958333333,8.953333333,10.0,0,,0
RA-559,2023,2,7.947366667,10.0,9.4,5.0,7.4,8.958333333,8.506666667,5.0,-1,,0
RA-1104,2023,2,7.265533333,5.7,10.0,2.52,6.4,8.541666667,9.063333333,5.0,-1,,0
RA-563,2023,2,7.684133333,6.4,9.7,2.52,6.2,8.75,8.726666667,10.0,0,,0
RA-573,2023,2,7.774366667,9.5,9.8,5.0,6.6,8.541666667,8.45,5.0,-1,,0
RA-551,2023,2,7.075033333,10.0,8.6,2.52,5.4,8.541666667,8.393333333,5.0,-1,,0
RA-566,2023,2,7.7227,9.0,8.8,2.52,8.4,8.958333333,8.673333333,5.0,-1,,0
RA-555,2023,2,5.898133333,7.4,8.1,2.52,3.9,6.25,6.946666667,5.0,-1,,1
RA-373,2023,2,6.805,0.0,9.7,2.52,8.4,8.75,7.84,5.0,-1,,0
RA-1105,2023,2,6.299166667,0.0,9.0,2.52,6.0,8.125,8.673333333,5.0,-1,,0
RA-546,2023,2,6.031666667,0.0,7.2,2.52,5.7,8.75,9.173333333,5.0,-1,,0
RA-557,2023,2,8.7717,10.0,8.2,5.0,8.9,9.375,9.62,10.0,0,,0
RA-1106,2023,2,7.1642,8.5,9.3,5.0,5.1,8.333333333,8.003333333,5.0,-1,,0
RA-558,2023,2,6.615333333,7.8,9.4,5.0,6.0,6.458333333,6.78,2.5,-3,,0
RA-560,2023,2,4.932,0.0,8.4,2.52,4.0,5.0,6.0,5.0,-1,,1
RA-1107,2023,2,7.9327,9.0,9.4,5.0,7.5,8.958333333,8.783333333,5.0,-1,,0
RA-1108,2023,2,6.310833333,0.0,9.3,5.0,4.7,8.541666667,8.283333333,5.0,-1,,0
RA-542,2023,2,7.816533333,9.5,9.7,5.0,6.3,8.75,9.006666667,5.0,-1,,0
RA-543,2023,2,7.971833333,7.8,9.8,2.52,6.5,8.75,9.006666667,10.0,0,,0
RA-556,2023,2,7.7482,8.5,9.6,2.52,7.2,9.166666667,9.396666667,5.0,-1,,0
RA-1109,2023,2,6.277533333,10.0,6.4,5.0,3.4,7.5,7.836666667,5.0,-2,,0
RA-389,2023,2,6.687,0.0,8.2,2.52,8.2,8.75,8.95,5.0,-1,,0
RA-1110,2023,2,7.248566667,4.6,9.2,5.0,6.8,8.541666667,8.73,5.0,-1,,0
RA-568,2023,2,6.9647,7.0,7.9,5.0,7.6,8.125,8.01,2.5,-3,,0
RA-562,2023,2,6.824833333,0.0,8.5,2.52,8.7,8.541666667,8.893333333,5.0,-1,,0
RA-1111,2023,2,6.559166667,0.0,8.9,2.52,5.4,8.125,8.173333333,10.0,0,,0
RA-1112,2023,2,7.088866667,9.5,7.9,2.52,6.3,8.333333333,8.616666667,5.0,-1,,0
RA-525,2023,2,7.911366667,8.0,8.6,2.52,9.2,8.958333333,9.566666667,5.0,-1,,0
RA-357,2023,2,8.2832,8.5,9.6,7.52,8.7,8.75,8.23,5.0,-1,,0
RA-583,2023,2,7.838866667,9.0,9.4,7.52,6.3,8.333333333,8.616666667,5.0,-1,,0
RA-584,2023,2,7.697533333,9.5,9.0,2.52,5.8,8.333333333,8.56,10.0,0,,0
RA-586,2023,2,8.4242,8.0,10.0,2.52,8.4,8.333333333,9.343333333,10.0,0,,0
RA-1113,2023,2,5.636666667,0.0,6.0,7.52,5.0,7.5,7.173333333,5.0,-1,,1
RA-413,2023,2,6.803633333,7.9,8.9,2.52,6.3,7.291666667,7.503333333,5.0,-1,,0
RA-599,2023,2,8.532866667,10.0,9.5,2.52,8.5,8.333333333,9.286666667,10.0,0,,0
RA-1114,2023,2,7.5667,8.5,9.8,2.52,4.9,8.125,8.56,10.0,0,,0
RA-401,2023,2,6.363666667,4.0,8.1,2.52,7.3,7.083333333,7.116666667,5.0,-1,,0
RA-1115,2023,2,6.474,0.0,8.3,7.52,4.0,7.5,7.56,10.0,0,,0
RA-1116,2023,2,6.956533333,9.5,9.2,5.0,4.9,7.083333333,7.39,5.0,-1,,0
RA-604,2023,2,8.548033333,9.0,9.3,7.52,7.5,8.125,8.616666667,10.0,0,,0
RA-605,2023,2,7.709366667,9.0,9.5,7.52,6.8,7.291666667,7.84,5.0,-1,,0
RA-668,2023,2,6.017933333,6.3,6.3,7.52,3.4,6.875,7.616666667,5.0,-1,,0
RA-1117,2023,2,8.382366667,9.0,9.6,7.52,7.3,7.708333333,7.946666667,10.0,0,,0
RA-1118,2023,2,7.163833333,5.3,8.8,7.52,6.0,7.708333333,8.28,5.0,-1,,0
RA-610,2023,2,8.2857,10.0,10.0,2.52,7.0,8.541666667,8.896666667,10.0,0,,0
RA-409,2023,2,7.621466667,8.4,9.5,2.52,8.0,7.916666667,8.73,5.0,-1,,0
RA-466,2023,2,6.595533333,9.5,7.6,6.89,4.5,6.25,7.056666667,5.0,-2,,0
RA-760,2023,2,6.548333333,0.0,8.8,7.52,6.3,7.083333333,7.84,5.0,-1,,0
RA-404,2023,2,6.7093,7.9,8.3,5.02,6.0,6.875,6.89,5.0,-1,,0
RA-590,2023,2,7.647666667,6.3,9.7,3.77,6.5,7.291666667,8.34,10.0,0,,0
RA-469,2023,2,7.482533333,7.5,9.3,2.52,7.8,7.916666667,8.843333333,5.0,-1,,0
RA-1119,2023,2,7.192,7.3,9.7,3.77,5.9,7.708333333,8.453333333,5.0,-1,,0
RA-1120,2023,2,9.103366667,9.5,9.6,7.52,8.3,8.958333333,9.676666667,10.0,0,,0
RA-472,2023,2,6.6858,5.1,7.1,7.52,5.5,7.708333333,8.223333333,5.0,-1,,0
RA-1121,2023,2,8.049,0.0,9.9,6.26,8.0,8.75,9.84,10.0,0,,0
RA-1122,2023,2,7.3715,0.0,9.3,6.89,6.9,7.291666667,8.616666667,10.0,0,,0
RA-438,2023,2,6.9883,6.9,7.5,6.26,5.4,6.458333333,7.223333333,10.0,0,,0
RA-408,2023,2,7.242133333,7.9,8.5,3.77,6.8,8.333333333,8.45,5.0,-1,,0
RA-1123,2023,2,6.9565,7.3,8.9,7.52,5.3,7.083333333,7.113333333,5.0,-1,,0
RA-1124,2023,2,6.667866667,9.5,8.0,7.52,3.0,7.083333333,7.786666667,5.0,-2,,0
RA-623,2023,2,7.8307,10.0,9.5,7.52,7.3,7.291666667,7.446666667,5.0,-2,,0
RA-661,2023,2,6.846333333,0.0,7.7,6.89,6.5,7.5,7.836666667,10.0,0,,0
RA-626,2023,2,7.231033333,9.0,9.2,4.39,6.5,7.291666667,7.613333333,5.0,-1,,0
RA-433,2023,2,6.5982,8.5,7.2,7.52,4.8,5.833333333,7.613333333,5.0,-1,,0
RA-614,2023,2,8.2282,9.0,9.1,7.52,8.6,8.333333333,8.563333333,5.0,-1,,0
RA-434,2023,2,7.069766667,6.3,8.0,7.52,6.6,7.5,7.613333333,5.0,-1,,0
RA-603,2023,2,6.748833333,0.0,8.9,2.52,7.0,7.708333333,7.78,10.0,0,,0
RA-436,2023,2,5.322366667,7.5,4.7,2.52,3.4,6.875,7.613333333,5.0,-1,,1
